"Age","gender","Attitude","Points","stra","deep","surf"
25,"F",20,25,4,3.16666666666667,2.33333333333333
21,"F",27,11,3.125,3.08333333333333,3
22,"F",32,19,3.25,4.16666666666667,3
25,"F",33,24,2.125,2.25,4
20,"F",39,28,2.875,3.33333333333333,3.25
24,"M",33,21,1.5,3.08333333333333,3.5
20,"F",30,24,2.5,2.75,3.5
21,"M",37,24,3.25,3.25,3.83333333333333
20,"F",25,20,3.625,4,2.91666666666667
20,"F",29,19,3.875,3.58333333333333,2.16666666666667
31,"M",39,30,3.875,4.08333333333333,1.66666666666667
20,"F",36,22,2.375,4.25,2.08333333333333
22,"F",29,16,3,3.41666666666667,2.83333333333333
22,"F",21,16,3.375,3.08333333333333,3.41666666666667
21,"M",31,19,2.75,3.5,3.33333333333333
22,"M",40,30,4.5,3.66666666666667,2.58333333333333
21,"F",31,23,2.625,4.25,2.83333333333333
21,"F",23,19,2.75,4.25,3.33333333333333
21,"F",28,18,3.25,3.83333333333333,3
21,"F",37,28,4.125,4.41666666666667,2.58333333333333
20,"F",26,21,3.375,3.5,2.41666666666667
21,"F",24,19,2.75,3.58333333333333,3.58333333333333
25,"F",30,27,4.125,3.66666666666667,2.08333333333333
21,"M",28,24,3.25,2.08333333333333,4.33333333333333
24,"F",29,21,2.875,4.25,2.66666666666667
20,"F",24,20,2.875,3.58333333333333,3
21,"M",31,28,2.375,4,2.66666666666667
20,"F",19,12,3.875,3.33333333333333,2.16666666666667
20,"F",20,21,2.125,3.5,2.66666666666667
18,"F",38,28,4,3.16666666666667,2.25
21,"F",34,31,3.25,3.58333333333333,2.66666666666667
19,"F",37,18,2.625,3.41666666666667,3.33333333333333
21,"F",29,25,2.75,4.25,3.5
20,"F",23,19,4,3.25,2.75
21,"M",41,21,3,4.41666666666667,2
20,"F",27,16,3.375,3.25,2.83333333333333
21,"F",35,7,3.875,3.91666666666667,3.5
20,"F",34,21,3.25,3.58333333333333,2.5
18,"F",32,17,3.375,4.5,3.16666666666667
22,"M",33,22,4.125,3.58333333333333,3.08333333333333
22,"F",33,18,3.5,3.66666666666667,2.91666666666667
24,"M",35,25,2,2.58333333333333,3.16666666666667
19,"F",32,24,3.625,4.16666666666667,2.5
20,"F",31,23,3.375,3.25,3.83333333333333
20,"F",28,23,2.125,4.33333333333333,2.25
17,"F",17,26,4.625,3.91666666666667,3.41666666666667
19,"M",19,12,2.5,2.66666666666667,3.75
20,"F",35,32,2.875,3.08333333333333,3
20,"F",24,22,2.75,3.75,2.58333333333333
20,"F",21,20,4,4.16666666666667,3.33333333333333
20,"F",29,21,2.375,4.16666666666667,2.83333333333333
19,"F",19,23,3.875,3.25,3
19,"F",20,20,3.375,4.08333333333333,2.83333333333333
22,"F",42,28,1.75,2.91666666666667,3.16666666666667
35,"M",41,31,3,3.83333333333333,2.75
18,"F",37,18,2.625,3.16666666666667,3.41666666666667
19,"F",36,30,2.625,3.41666666666667,3
21,"M",18,19,3.375,4.08333333333333,2.66666666666667
